DateKey,OrderDate,Year,Month,MonthName,Day,DayName,year_id
221,2008-10-19,2008,10,October,19,Sunday,1
222,2008-10-20,2008,10,October,20,Monday,1
223,2008-10-21,2008,10,October,21,Tuesday,1
224,2008-10-22,2008,10,October,22,Wednesday,1
225,2008-10-23,2008,10,October,23,Thursday,1
226,2008-10-24,2008,10,October,24,Friday,1
227,2008-10-28,2008,10,October,28,Tuesday,1
228,2008-10-29,2008,10,October,29,Wednesday,1
229,2008-10-30,2008,10,October,30,Thursday,1
230,2008-11-01,2008,11,November,1,Saturday,1
231,2008-11-05,2008,11,November,5,Wednesday,1
232,2008-11-06,2008,11,November,6,Thursday,1
233,2008-11-07,2008,11,November,7,Friday,1
234,2008-11-08,2008,11,November,8,Saturday,1
235,2008-11-09,2008,11,November,9,Sunday,1
236,2008-11-10,2008,11,November,10,Monday,1
237,2008-11-11,2008,11,November,11,Tuesday,1
238,2008-11-13,2008,11,November,13,Thursday,1
239,2008-11-16,2008,11,November,16,Sunday,1
240,2008-11-17,2008,11,November,17,Monday,1
241,2008-11-18,2008,11,November,18,Tuesday,1
242,2008-11-19,2008,11,November,19,Wednesday,1
243,2008-11-22,2008,11,November,22,Saturday,1
244,2008-11-23,2008,11,November,23,Sunday,1
245,2008-11-24,2008,11,November,24,Monday,1
246,2008-11-25,2008,11,November,25,Tuesday,1
247,2008-11-26,2008,11,November,26,Wednesday,1
248,2008-11-27,2008,11,November,27,Thursday,1
249,2008-11-28,2008,11,November,28,Friday,1
250,2008-11-29,2008,11,November,29,Saturday,1
251,2008-11-30,2008,11,November,30,Sunday,1
252,2008-12-01,2008,12,December,1,Monday,1
253,2008-12-08,2008,12,December,8,Monday,1
254,2008-12-09,2008,12,December,9,Tuesday,1
255,2008-12-10,2008,12,December,10,Wednesday,1
256,2008-12-11,2008,12,December,11,Thursday,1
257,2008-12-13,2008,12,December,13,Saturday,1
258,2008-12-16,2008,12,December,16,Tuesday,1
259,2008-12-17,2008,12,December,17,Wednesday,1
260,2008-12-18,2008,12,December,18,Thursday,1
261,2008-12-19,2008,12,December,19,Friday,1
262,2008-12-21,2008,12,December,21,Sunday,1
263,2008-12-22,2008,12,December,22,Monday,1
